track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
386,223,1,2022,5,20,2094,1,236060709,8,1,18,0,0.0,165,,Major,72,90,48,32,0,18,23
148,223,1,2022,5,20,2171,0,189236868,18,1,28,0,0.0,106,,Minor,83,90,64,35,5,9,4
203,533,2,2022,5,25,896,0,160845341,19,0,15,0,0.0,77,,Major,81,68,58,83,0,11,34
567,443,1,2014,1,1,5148,0,588955257,90,22,365,0,114.0,91,,Major,57,30,89,10,0,33,8
328,321,1,2022,5,3,2528,0,238350348,63,8,270,2,105.0,148,,Major,51,21,63,5,0,41,3
191,223,1,2022,5,20,1900,1,187703102,15,1,23,0,0.0,114,,Minor,71,90,81,31,2,13,3
550,375,2,2022,6,10,3879,2,295307001,107,76,86,1,9.0,120,,Minor,91,63,77,12,1,10,5
543,440,2,2022,6,2,896,0,138334433,0,0,2,0,0.0,92,,Major,83,56,82,10,0,9,5
490,99,1,2016,11,10,8775,0,445590495,33,60,107,1,0.0,118,,Major,56,25,45,1,3,7,3
166,125,3,2022,3,18,5290,0,286739476,139,73,142,0,5.0,123,,Minor,60,46,71,3,0,16,4
655,261,1,2018,9,12,10211,0,1122364376,38,79,65,0,1.0,89,,Major,52,28,48,54,1,19,3
52,155,1,2022,6,2,584,8,157136970,12,1,8,0,1.0,110,,Minor,81,61,93,49,0,12,11
113,223,1,2022,5,20,1517,0,137070925,26,2,30,0,0.0,118,,Major,42,32,20,94,0,11,4
8,529,1,2021,5,15,246,4,183273246,4,106,0,0,7.0,90,,Minor,68,54,76,21,0,11,20
780,294,1,2022,5,13,220,4,184807630,16,5,0,0,6.0,130,,Major,49,14,40,82,0,11,3
236,613,1,2022,5,13,514,0,164856284,5,36,1,0,0.0,154,,Minor,70,97,62,47,0,10,4
484,390,1,1986,3,3,6080,0,704171068,112,198,406,1,0.0,105,,Minor,54,59,83,0,44,20,4
70,57,1,2022,6,21,9724,0,354614964,222,61,259,14,2.0,115,,Minor,70,87,88,4,0,26,8
835,129,5,2022,6,16,2341,0,279717388,37,2,38,2,0.0,110,,Major,91,59,82,8,0,6,8
483,142,1,2022,6,17,5263,0,195628667,66,89,61,0,11.0,125,,Minor,51,5,68,12,2,15,6
94,629,1,2022,6,10,2402,0,221752937,45,2,26,0,1.0,102,,Major,73,62,75,0,0,34,8
560,325,1,2022,2,6,795,11,263280370,26,18,15,1,4.0,120,,Minor,81,72,65,4,0,14,4
575,413,1,2022,6,24,571,0,213505179,19,21,14,0,2.0,97,,Major,80,36,86,4,0,3,5
420,509,2,2022,3,24,832,3,130419412,18,124,24,1,0.0,140,,Minor,44,41,92,0,0,44,7
468,640,1,2022,7,1,565,0,155795783,6,52,11,0,0.0,97,,Major,78,31,72,1,0,11,4
764,216,1,1987,1,1,41231,1,1553497987,228,151,"6,720",3,99.0,125,,Major,45,67,90,9,11,10,5
416,78,1,2022,5,12,4526,12,293466523,156,275,150,3,128.0,88,,Minor,80,55,56,13,0,8,9
656,490,1,2022,3,19,1818,0,711366595,3,0,63,0,353.0,170,,Major,56,52,64,11,0,45,7
744,142,1,2022,6,17,2814,0,191448892,38,105,25,0,2.0,137,,Minor,88,8,49,9,0,9,14
332,283,3,2022,7,1,1601,0,85924992,11,0,2,0,0.0,157,,Major,88,52,69,0,0,8,23
33,316,3,2022,6,3,894,4,176103902,28,0,54,0,0.0,130,,Major,95,83,57,54,0,10,25
409,18,3,2022,7,6,945,0,121189256,49,3,57,0,0.0,90,,Major,85,80,83,10,0,8,11
915,416,1,2022,6,24,767,0,131746175,25,0,22,0,0.0,183,,Minor,44,44,67,7,0,12,13
26,318,1,2022,5,2,5898,5,244790012,129,55,128,0,101.0,128,,Major,58,68,91,2,0,27,11
77,386,3,2022,6,10,685,2,129314708,17,0,24,0,30.0,130,,Minor,71,78,40,46,0,7,45
913,482,1,2022,8,4,1452,35,331511413,16,15,20,0,0.0,126,,Major,63,56,43,24,0,12,23
74,534,3,2022,8,5,1456,0,219196651,53,2,33,0,0.0,120,,Major,77,94,87,2,0,23,12
663,144,3,2022,8,5,2107,0,170732845,51,1,50,0,0.0,130,,Minor,72,18,46,7,0,28,8
124,347,1,2020,12,18,1494,2,273914335,17,12,15,0,0.0,122,,Major,70,46,76,30,0,9,45
702,179,1,2022,8,5,1379,4,179061440,23,10,18,0,0.0,172,,Minor,74,46,58,15,0,13,8
289,155,1,2022,7,20,625,4,185236961,13,18,12,0,0.0,103,,Major,61,38,62,14,0,23,40
15,57,1,2022,7,29,2688,0,171788484,39,47,36,0,0.0,122,,Minor,55,46,64,0,0,17,10
481,206,1,2019,9,13,2668,2,387080183,38,266,78,0,141.0,130,,Major,47,56,90,0,0,10,4
63,418,1,2022,8,1,799,12,264717480,14,141,9,0,1.0,105,,Minor,81,70,65,24,0,8,4
771,484,1,2022,3,11,1189,6,244928911,17,10,16,0,4.0,120,,Major,90,73,51,39,0,9,6
157,535,1,2022,7,12,367,0,97610446,28,67,195,0,0.0,145,,Major,56,43,53,24,0,12,4
234,213,2,2022,7,22,527,4,287278853,10,43,3,1,0.0,99,,Minor,79,64,59,28,0,11,14
318,281,1,2008,1,1,17504,34,887906111,63,39,"1,315",0,2.0,88,,Minor,79,66,65,5,0,25,14
742,84,4,2022,7,15,3113,0,123473120,54,6,124,1,0.0,126,,Major,81,90,73,28,0,29,4
704,451,2,2022,8,15,685,5,295152154,15,79,4,2,0.0,136,,Major,77,71,75,33,1,13,4
373,351,2,2022,2,18,782,9,323455692,15,33,6,1,0.0,113,,Major,70,97,59,55,0,27,12
213,126,3,2022,6,16,2442,0,240918092,81,4,248,1,6.0,132,,Major,82,49,88,20,0,21,3
600,389,3,2022,5,20,1112,4,191873381,22,2,65,1,3.0,135,,Major,77,74,74,47,0,34,8
327,168,2,2017,11,10,4967,0,284216603,165,10,177,4,73.0,126,,Major,67,49,77,11,0,19,11
280,331,1,2022,9,9,2520,4,239411309,93,95,84,9,202.0,102,,Minor,67,72,74,30,0,36,4
29,228,1,2022,8,22,767,12,265548837,20,129,11,0,12.0,125,,Major,68,80,92,10,0,9,12
108,281,1,2013,1,1,19806,7,703301727,33,11,274,0,0.0,149,,Major,37,28,66,14,0,9,5
65,233,2,2022,6,15,5153,6,244585109,102,53,113,12,0.0,137,,Major,74,71,89,24,61,15,5
787,554,1,2022,8,26,615,0,189476119,14,77,15,1,2.0,120,,Minor,77,78,91,14,0,33,12
69,31,1,2022,1,20,2537,0,277132266,49,1,67,11,1.0,100,,Major,90,75,50,11,0,9,26
272,179,1,2022,6,3,1647,30,278920007,20,49,23,2,2.0,164,,Minor,70,58,57,25,0,15,7
382,437,1,2022,6,10,2019,8,222410722,117,72,107,1,7.0,93,,Minor,65,79,66,31,0,22,7
616,179,1,2022,9,13,1473,12,185392587,25,36,25,1,0.0,180,,Minor,65,52,80,5,0,6,25
740,541,1,2022,7,15,1613,0,202452860,21,15,13,0,0.0,79,,Major,34,22,31,43,63,10,7
811,111,1,2002,8,5,30992,6,1608164312,124,25,"7,827",1,0.0,146,,Major,56,21,44,73,0,11,2
730,111,1,2000,7,10,10826,4,624101957,24,0,805,0,0.0,103,,Major,37,17,27,75,5,10,3
786,622,1,2022,9,2,920,0,148461629,10,1,8,0,0.0,140,,Minor,70,26,76,8,0,54,23
895,626,2,2022,9,13,308,0,47093942,6,1,6,0,0.0,92,,Major,81,48,70,13,0,15,7
682,459,1,2016,6,23,2468,0,380319238,15,0,0,0,0.0,102,,Minor,64,4,60,11,0,19,4
